FileExt,File,ID,Code,Year,i,Parashat,Date,Title,Moment,Shabbat,Occasion
5766-210-1.m4a,5766-210-1,57662101,210,5766,1,Vayakhel-Pekudei,2006-03-25,First,,Hachodesh,
5766-302-1.m4a,5766-302-1,57663021,302,5766,1,Tzav,2006-04-08,You Say Tomato...,,,
5766-304-1.m4a,5766-304-1,57663041,304,5766,1,Tazria-Metzora,2006-04-29,Jewish Doctor,,Hagadol,
5766-306-1.m4a,5766-306-1,57663061,306,5766,1,Emor,2006-05-13,Contrast,,,
5766-307-1.m4a,5766-307-1,57663071a,307,5766,1,Behar-Bechukotai,2006-05-20,The Da Vinci Code,,,
5766-406-1.m4a,5766-406-1,57664061,406,5766,1,Chukat-Balak,2006-07-08,Source of Blessing,Shacharit,,
5766-406-2.m4a,5766-406-2,57664062,406,5766,2,Chukat-Balak,2006-07-08,Where There's A Will ,Kabalat Shabbat,,
5766-408-1.m4a,5766-408-1,57664081,408,5766,1,Matot-Masei,2006-07-22,Spiritual Soldiers (Lebanon war),,,
5766-501-1.m4a,5766-501-1,57665011a,501,5766,1,Devarim,2006-07-29,Helping With Lebanon,,,
5766-503-1.m4a,5766-503-1,57665031,503,5766,1,Eikev,2006-08-12,The Dating Game,,,
5766-506-1.m4a,5766-506-1,57665061a,506,5766,1,Ki Teitzei,2006-09-02,Lying For Peace,,,
5766-507-1.m4a,5766-507-1,57665071,507,5766,1,Ki Tavo,2006-09-09,Remember to Forget,,,
5767-102-1.m4a,5767-102-1,57671021,102,5767,1,Noach,2006-10-28,Crash,,,
5767-103-1.m4a,5767-103-1,57671031,103,5767,1,Lech-Lecha,2006-11-04,Take a Hike,,,
5767-107-1.m4a,5767-107-1,57671071,107,5767,1,Vayetzei,2006-12-02,Sleeper,,,
5767-109-1.m4a,5767-109-1,57671091,109,5767,1,Vayeshev,2006-12-16,Rockstar,,,
5767-110-1.m4a,5767-110-1,57671101,110,5767,1,Miketz,2006-12-23,The Interpretation of Dreams,,,
5767-112-1.m4a,5767-112-1,57671121,112,5767,1,Vayechi,2007-01-06,Wings,,,
5767-201-1.m4a,5767-201-1,57672011,201,5767,1,Shemot,2007-01-13,Drivers Wanted,,,
5767-202-1.m4a,5767-202-1,57672021,202,5767,1,Vaera,2007-01-20,The Moral Imperative,,,
5767-204-1.m4a,5767-204-1,57672041,204,5767,1,Beshalach,2007-02-03,Eat Bark,,,Tu b'Shvat
5767-205-1.m4a,5767-205-1,57672051,205,5767,1,Yitro,2007-02-10,The In-Laws,,,
5767-206-1.m4a,5767-206-1,57672061,206,5767,1,Mishpatim,2007-02-17,Investing 101,,,
5767-208-1.m4a,5767-208-1,57672081,208,5767,1,Tetzaveh,2007-03-03,"Live From NY, It's Purim!",,Zachor,
5767-209-1.m4a,5767-209-1,57672091,209,5767,1,Ki Tisa,2007-03-10,Hotline to G-d,,,
5767-210-1.m4a,5767-210-1,57672101,210,5767,1,Vayakhel-Pekudei,2007-03-17,Do Something,,Hachodesh,
5767-302-1.m4a,5767-302-1,57673021,302,5767,1,Tzav,2007-03-31,The Wise Child,Shacharit,Hagadol,
5767-302-2.m4a,5767-302-2,57673022,302,5767,2,Tzav,2007-03-31,Humility Is Freedom ,Kabalat Shabbat,Hagadol,
5767-303-1.m4a,5767-303-1,57673031,303,5767,1,Shmini,2007-04-14,Contrast,Shacharit,,
5767-303-2.m4a,5767-303-2,57673032,303,5767,2,Shmini,2007-04-14,Practice Is Perfect,Kabalat Shabbat,,
5767-304-1.m4a,5767-304-1,57673041,304,5767,1,Tazria-Metzora,2007-04-21,Hatikva,Shacharit,,Yom haAtzmaut
5767-304-2.m4a,5767-304-2,57673042,304,5767,2,Tazria-Metzora,2007-04-21,The Loner,Kabalat Shabbat,,
5767-306-1.m4a,5767-306-1,57673061,306,5767,1,Emor,2007-05-05,Laugh,,,In memory of Rabbi Lipman Podolsky z'l
5767-307-1.m4a,5767-307-1,57673071,307,5767,1,Behar-Bechukotai,2007-05-12,Sevens,,,
5767-401-1.m4a,5767-401-1,57674011,401,5767,1,Bamidbar,2007-05-19,Count,,,
5767-403-1.m4a,5767-403-1,57674031,403,5767,1,Beha'alotcha,2007-06-02,Achieve the Impossible,,,
5767-404-1.m4a,5767-404-1,57674041,404,5767,1,Sh'lach,2007-06-09,Media Spin,Shacharit,,
5767-404-2.m4a,5767-404-2,57674042,404,5767,2,Sh'lach,2007-06-09,In Living Color,Kabalat Shabbat,,
