name,type,where,url,food,address,city,phone,hash,hash_name,hash_url,certificate_url,note,warning,yelp_url,facebook_url
Ben and Jerry's,ice cream,Center City,http://www.benjerry.com/rittenhousesquare,Ice cream,1726 Sansom St,"Philadelphia, PA",(215) 454-6985,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/ben-and-jerrys-philadelphia-20,https://www.facebook.com/BenJerryPhilly/
Ben and Jerry's,ice cream,Center City,http://www.benjerry.com/upenn,Ice cream,218 S. 40th St,"Philadelphia, PA",(215) 382-5092,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/ben-and-jerrys-philadelphia-20,https://www.facebook.com/BenJerryPhilly/
Best Cake Kosher Bakery,bakery,Main Line,,Bakery,7594 Haverford Av,"Philadelphia, PA",(215) 878-1127,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/best-cake-kosher-bakery-philadelphia,https://www.facebook.com/pages/Best-Cake-Kosher-Bakery/117541021598051
Center City Soft Pretzel Company,bakery,Center City,http://www.centercitypretzel.com/,Pretzel bakery,816 Washington Av,"Philadelphia, PA",(215) 463-5664,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/center-city-pretzel-co-philadelphia,https://www.facebook.com/pages/Center-City-Pretzel-Co/140312809362598
Classic Cake Bakery,bakery,Cherry Hill,http://www.classiccake.com/index.php,Bakery,480 Evesham Rd,"Cherry Hill, NJ",(856) 751-5448,Cherry-K,Cherry K Vaad Hakashruth,http://www.sonsofisraelnj.com/detail.php?id=26,,,,http://www.yelp.com/biz/classic-cake-cherry-hill,https://www.facebook.com/pages/Classic-Cake/190218305915
Dottie's Donuts, bakery, Center City,,Parve vegan bakery,509 S. 6th St (btw Lombard and South),"Philadelphia, PA",,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/dotties-donuts-philadelphia-5,https://www.facebook.com/dottiesdonutsphl/
Homemade Goodies by Roz,bakery,Center City,http://www.homemadegoodiesbyroz.com/,Parve bakery,510 S 5th St (btw Lombard and South),"Philadelphia, PA",(215) 592-9616,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/homemade-goodies-by-roz-philadelphia,https://www.facebook.com/pages/Homemade-Goodies-by-Roz/105292789654
La Chic N Sweet,bakery,Northeast,http://www.lachicnsweet.com/,Cake bakery,1257 Serota Pl,"Philadelphia, PA",(215) 327-6890,RAG,Rabbi Amiram Gabay,,,,,http://www.yelp.com/biz/la-chic-n-sweet-philadelphia,https://www.facebook.com/pages/La-Chic-N-Sweet/499729250070908
Le Bus Bakery,bakery,Center City,http://www.yelp.com/biz/le-bus-philadelphia,Dairy bakery,135 S 18th St (btw Sansom and Walnut),"Philadelphia, PA",(215) 569-8299,MBOKS,Mekor Baruch Orthodox Kosher Supervision,http://mekorbaruch.wix.com/mboks,pdf/LeBus2015.pdf,Some items are parve.,Only select items are kosher.,http://www.yelp.com/biz/lebus-bakery-philadelphia-3,https://www.facebook.com/lebusbakery1
Magical Sweet Shop,bakery,Cherry Hill,,Dairy bakery,200 White Horse Rd,"Voorhees, NJ",(856) 309-1100,IKC,International Kosher Council,http://ikckosher.com,,,,,https://www.facebook.com/magicalsweetshopnj/
New York Bagels,bakery,Main Line,http://nybagelsinphilly.com/,Dairy bagel bakery,7555 Haverford Av,"Philadelphia, PA",(215) 878-8080,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,Bagels are parve.,,http://www.yelp.com/biz/new-york-bagel-bakery-philadelphia,https://www.facebook.com/pages/New-York-Bagel-Bakery/115897861772585

Rita’s South Street West,ice cream,Center City,http://wwwitasfranchises.com/stores/store.cfm/South%20Street%20West-19146/store/3215,Ice cream,2124 South St,"Philadelphia, PA",(267) 428-3533,IKC,International Kosher Council,http://ikckosher.com,,,,,https://www.facebook.com/SouthStreetWestRitas
Rolings Bakery,bakery,Old York Road,http://www.rolingsthebakery.com/,Parve bakery,7848 Montgomery Av,"Elkins Park, PA",(215) 635-5524,Keystone-K,Community Kashrus of Greater Philadelphia,http://www.keystone-k.info,,,,http://www.yelp.com/biz/rolings-bakery-elkins-park,https://www.facebook.com/pages/Rolings-Bakery/225772674213070
Sip-N-Glow Juicery,bakery,Center City,http://www.sipnglo.com,Juices,932 South St,"Philadelphia, PA",(267) 273-0639,IKC,International Kosher Council,http://ikckosher.com,,,,http://www.yelp.com/biz/sip-n-glo-juicery-philadelphia,https://www.facebook.com/sipnglorittenhouse/
